料号	品牌	型号	官网地址	三维模型搜索	图像搜索
UC3000030019	三菱	QX40		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20QX40%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20QX40
UC3000030020	三菱	QY41P		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20QY41P%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20QY41P
UC3000030021	三菱	QJ71E71-100		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20QJ71E71-100%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20QJ71E71-100
UC3000030022	三菱	Q38B		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q38B%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q38B
UC3000030023	三菱	Q68TD-G-H01		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q68TD-G-H01%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q68TD-G-H01
UC3000030024	三菱	Q68ADI		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q68ADI%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q68ADI
UC3000030025	三菱	Q63P		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q63P%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q63P
UC3000030026	三菱	PT100		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20PT100%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20PT100
UC3000030030	台達	AS16AP11T-A		https://www.bing.com/search?q=%E5%8F%B0%E9%81%94%20AS16AP11T-A%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E9%81%94%20AS16AP11T-A
UC3000030031	松下	AFPORAD8		https://www.bing.com/search?q=%E6%9D%BE%E4%B8%8B%20AFPORAD8%203D%20model	https://www.bing.com/images/search?q=%E6%9D%BE%E4%B8%8B%20AFPORAD8
UC3000030032	松下	AFP0HXY64D2T		https://www.bing.com/search?q=%E6%9D%BE%E4%B8%8B%20AFP0HXY64D2T%203D%20model	https://www.bing.com/images/search?q=%E6%9D%BE%E4%B8%8B%20AFP0HXY64D2T
UC3000030034	三菱	FX5-CCL-MS		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20FX5-CCL-MS%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20FX5-CCL-MS
UC3000030035	三菱	FX3U-16CCL-M		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20FX3U-16CCL-M%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20FX3U-16CCL-M
UC3000030036	三菱	FX3U-485-BD		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20FX3U-485-BD%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20FX3U-485-BD
UC3000030042	三菱	QY40P		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20QY40P%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20QY40P
UC3000030044	三菱	Q64AD2DA		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q64AD2DA%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q64AD2DA
UC3000030045	上海品全微电子	PQW-AN-I-3C-485-ISO-0至10V（3通道0-10V采集隔离485通讯）		https://www.bing.com/search?q=%E4%B8%8A%E6%B5%B7%E5%93%81%E5%85%A8%E5%BE%AE%E7%94%B5%E5%AD%90%20PQW-AN-I-3C-485-ISO-0%E8%87%B310V%EF%BC%883%E9%80%9A%E9%81%930-10V%E9%87%87%E9%9B%86%E9%9A%94%E7%A6%BB485%E9%80%9A%E8%AE%AF%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E4%B8%8A%E6%B5%B7%E5%93%81%E5%85%A8%E5%BE%AE%E7%94%B5%E5%AD%90%20PQW-AN-I-3C-485-ISO-0%E8%87%B310V%EF%BC%883%E9%80%9A%E9%81%930-10V%E9%87%87%E9%9B%86%E9%9A%94%E7%A6%BB485%E9%80%9A%E8%AE%AF%EF%BC%89
UC3000030049	上海品全微电子	PQW-AN-I-8C-485-ISO-4-20MA（8通道4-20MA采集隔离485通讯）		https://www.bing.com/search?q=%E4%B8%8A%E6%B5%B7%E5%93%81%E5%85%A8%E5%BE%AE%E7%94%B5%E5%AD%90%20PQW-AN-I-8C-485-ISO-4-20MA%EF%BC%888%E9%80%9A%E9%81%934-20MA%E9%87%87%E9%9B%86%E9%9A%94%E7%A6%BB485%E9%80%9A%E8%AE%AF%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E4%B8%8A%E6%B5%B7%E5%93%81%E5%85%A8%E5%BE%AE%E7%94%B5%E5%AD%90%20PQW-AN-I-8C-485-ISO-4-20MA%EF%BC%888%E9%80%9A%E9%81%934-20MA%E9%87%87%E9%9B%86%E9%9A%94%E7%A6%BB485%E9%80%9A%E8%AE%AF%EF%BC%89
UC3000030063	信捷	XC-E8AD-H		https://www.bing.com/search?q=%E4%BF%A1%E6%8D%B7%20XC-E8AD-H%203D%20model	https://www.bing.com/images/search?q=%E4%BF%A1%E6%8D%B7%20XC-E8AD-H
UC3000040001				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000040002				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000040003				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000040004				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000040005	臺達	ASD-A2-0721-L		https://www.bing.com/search?q=%E8%87%BA%E9%81%94%20ASD-A2-0721-L%203D%20model	https://www.bing.com/images/search?q=%E8%87%BA%E9%81%94%20ASD-A2-0721-L
UC3000040006	台達	ASD-A3-0121-M		https://www.bing.com/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0121-M%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0121-M
UC3000040007	台達	ASD-A3-0421-M		https://www.bing.com/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0421-M%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0421-M
UC3000040008	杰美康	JASD4002-20B-RC（只支持MODBUS-RTU和CAN）		https://www.bing.com/search?q=%E6%9D%B0%E7%BE%8E%E5%BA%B7%20JASD4002-20B-RC%EF%BC%88%E5%8F%AA%E6%94%AF%E6%8C%81MODBUS-RTU%E5%92%8CCAN%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E6%9D%B0%E7%BE%8E%E5%BA%B7%20JASD4002-20B-RC%EF%BC%88%E5%8F%AA%E6%94%AF%E6%8C%81MODBUS-RTU%E5%92%8CCAN%EF%BC%89
UC3000040009	三菱	MR-JE-70A		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20MR-JE-70A%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20MR-JE-70A
UC3000040011	台達	ASD-A3-0221-M		https://www.bing.com/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0221-M%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0221-M
UC3000040012	台達	ASD-A3-0721-M		https://www.bing.com/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0721-M%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E9%81%94%20ASD-A3-0721-M
UC3000040018	臺達	ASD-A2-3043-M		https://www.bing.com/search?q=%E8%87%BA%E9%81%94%20ASD-A2-3043-M%203D%20model	https://www.bing.com/images/search?q=%E8%87%BA%E9%81%94%20ASD-A2-3043-M
UC3000040019	匯川	SV630CS2R8I		https://www.bing.com/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS2R8I%203D%20model	https://www.bing.com/images/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS2R8I
UC3000040020	匯川	SV630CS1R6I		https://www.bing.com/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS1R6I%203D%20model	https://www.bing.com/images/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS1R6I
UC3000040021	匯川	SV630CS5R5I		https://www.bing.com/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS5R5I%203D%20model	https://www.bing.com/images/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS5R5I
UC3000040022	研華	CN114PIN3M		https://www.bing.com/search?q=%E7%A0%94%E8%8F%AF%20CN114PIN3M%203D%20model	https://www.bing.com/images/search?q=%E7%A0%94%E8%8F%AF%20CN114PIN3M
UC3000040023	研華	ESD401D6-VE2		https://www.bing.com/search?q=%E7%A0%94%E8%8F%AF%20ESD401D6-VE2%203D%20model	https://www.bing.com/images/search?q=%E7%A0%94%E8%8F%AF%20ESD401D6-VE2
UC3000040024	银帆	YF-2.2-R-AC220適配電機76100MJ	//duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.yinfantech.com%2F&rut=63b04c9d1ca5e2e3b19c232ffe8db80461dc543226866dd4cc573fe4e2ba5f36	https://www.bing.com/search?q=%E9%93%B6%E5%B8%86%20YF-2.2-R-AC220%E9%81%A9%E9%85%8D%E9%9B%BB%E6%A9%9F76100MJ%203D%20model	https://www.bing.com/images/search?q=%E9%93%B6%E5%B8%86%20YF-2.2-R-AC220%E9%81%A9%E9%85%8D%E9%9B%BB%E6%A9%9F76100MJ
UC3000040025	匯川	SV630CT017I		https://www.bing.com/search?q=%E5%8C%AF%E5%B7%9D%20SV630CT017I%203D%20model	https://www.bing.com/images/search?q=%E5%8C%AF%E5%B7%9D%20SV630CT017I
UC3000040026	匯川	SV630CS012I		https://www.bing.com/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS012I%203D%20model	https://www.bing.com/images/search?q=%E5%8C%AF%E5%B7%9D%20SV630CS012I
UC3000040028	匯川	SV630CT8R41		https://www.bing.com/search?q=%E5%8C%AF%E5%B7%9D%20SV630CT8R41%203D%20model	https://www.bing.com/images/search?q=%E5%8C%AF%E5%B7%9D%20SV630CT8R41
UC3000040029	杰美康	JAND4002-20B-RC		https://www.bing.com/search?q=%E6%9D%B0%E7%BE%8E%E5%BA%B7%20JAND4002-20B-RC%203D%20model	https://www.bing.com/images/search?q=%E6%9D%B0%E7%BE%8E%E5%BA%B7%20JAND4002-20B-RC
UC3000040030	松下	MCDLT35SF		https://www.bing.com/search?q=%E6%9D%BE%E4%B8%8B%20MCDLT35SF%203D%20model	https://www.bing.com/images/search?q=%E6%9D%BE%E4%B8%8B%20MCDLT35SF
UC3000040031	松下	MBDLT25SF		https://www.bing.com/search?q=%E6%9D%BE%E4%B8%8B%20MBDLT25SF%203D%20model	https://www.bing.com/images/search?q=%E6%9D%BE%E4%B8%8B%20MBDLT25SF
UC3000050001				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000050002	步科	2CM880		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%202CM880%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%202CM880
UC3000050003	步科	FM860-LA-000		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%20FM860-LA-000%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%20FM860-LA-000
UC3000050004	步科	3CM880		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%203CM880%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%203CM880
UC3000050005	步科	2CM545		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%202CM545%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%202CM545
UC3000050006	時代超群	MA860H		https://www.bing.com/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20MA860H%203D%20model	https://www.bing.com/images/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20MA860H
UC3000050007	時代超群	ZM-3722（含上位機信號電纜）		https://www.bing.com/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20ZM-3722%EF%BC%88%E5%90%AB%E4%B8%8A%E4%BD%8D%E6%A9%9F%E4%BF%A1%E8%99%9F%E9%9B%BB%E7%BA%9C%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20ZM-3722%EF%BC%88%E5%90%AB%E4%B8%8A%E4%BD%8D%E6%A9%9F%E4%BF%A1%E8%99%9F%E9%9B%BB%E7%BA%9C%EF%BC%89
UC3000050008	凱福科技	Y2SD1R5		https://www.bing.com/search?q=%E5%87%B1%E7%A6%8F%E7%A7%91%E6%8A%80%20Y2SD1R5%203D%20model	https://www.bing.com/images/search?q=%E5%87%B1%E7%A6%8F%E7%A7%91%E6%8A%80%20Y2SD1R5
UC3000050009	雷賽智能	DM542		https://www.bing.com/search?q=%E9%9B%B7%E8%B3%BD%E6%99%BA%E8%83%BD%20DM542%203D%20model	https://www.bing.com/images/search?q=%E9%9B%B7%E8%B3%BD%E6%99%BA%E8%83%BD%20DM542
UC3000050010	銳特	NT60PLUS	//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.rtelligent.com%2Fproducts%2F&rut=5d7d2ae90e10e75a2b10ea8dec9df764c848dd93a445cddc3469a1d786922ff0	https://www.bing.com/search?q=%E9%8A%B3%E7%89%B9%20NT60PLUS%203D%20model	https://www.bing.com/images/search?q=%E9%8A%B3%E7%89%B9%20NT60PLUS
UC3000050012	雷塞	CL57D		https://www.bing.com/search?q=%E9%9B%B7%E5%A1%9E%20CL57D%203D%20model	https://www.bing.com/images/search?q=%E9%9B%B7%E5%A1%9E%20CL57D
UC3000050015	無	DM845		https://www.bing.com/search?q=%E7%84%A1%20DM845%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%20DM845
UC3000050016	無	DE57		https://www.bing.com/search?q=%E7%84%A1%20DE57%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%20DE57
UC3000050017	無	2.2A		https://www.bing.com/search?q=%E7%84%A1%202.2A%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%202.2A
UC3000050019	無	US-52		https://www.bing.com/search?q=%E7%84%A1%20US-52%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%20US-52
UC3000050020	時代超群	ZM-6618（含電位器）		https://www.bing.com/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20ZM-6618%EF%BC%88%E5%90%AB%E9%9B%BB%E4%BD%8D%E5%99%A8%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20ZM-6618%EF%BC%88%E5%90%AB%E9%9B%BB%E4%BD%8D%E5%99%A8%EF%BC%89
UC3000060001	亦研牌	CSK04		https://www.bing.com/search?q=%E4%BA%A6%E7%A0%94%E7%89%8C%20CSK04%203D%20model	https://www.bing.com/images/search?q=%E4%BA%A6%E7%A0%94%E7%89%8C%20CSK04
UC3000060002	眾為興	DJ8849V1-A01		https://www.bing.com/search?q=%E7%9C%BE%E7%82%BA%E8%88%88%20DJ8849V1-A01%203D%20model	https://www.bing.com/images/search?q=%E7%9C%BE%E7%82%BA%E8%88%88%20DJ8849V1-A01
UC3000060003	研華	M5800D3A2S1V2M5簡體含附件包		https://www.bing.com/search?q=%E7%A0%94%E8%8F%AF%20M5800D3A2S1V2M5%E7%B0%A1%E9%AB%94%E5%90%AB%E9%99%84%E4%BB%B6%E5%8C%85%203D%20model	https://www.bing.com/images/search?q=%E7%A0%94%E8%8F%AF%20M5800D3A2S1V2M5%E7%B0%A1%E9%AB%94%E5%90%AB%E9%99%84%E4%BB%B6%E5%8C%85
UC3000060004	研華	SIOA1760RV1.1		https://www.bing.com/search?q=%E7%A0%94%E8%8F%AF%20SIOA1760RV1.1%203D%20model	https://www.bing.com/images/search?q=%E7%A0%94%E8%8F%AF%20SIOA1760RV1.1
UC3000060005	眾為興	DJ8849V2-A01		https://www.bing.com/search?q=%E7%9C%BE%E7%82%BA%E8%88%88%20DJ8849V2-A01%203D%20model	https://www.bing.com/images/search?q=%E7%9C%BE%E7%82%BA%E8%88%88%20DJ8849V2-A01
UC3000060006	分體式點膠控制器（六軸，支持脚本）	DJ1600V2-A01		https://www.bing.com/search?q=%E5%88%86%E9%AB%94%E5%BC%8F%E9%BB%9E%E8%86%A0%E6%8E%A7%E5%88%B6%E5%99%A8%EF%BC%88%E5%85%AD%E8%BB%B8%EF%BC%8C%E6%94%AF%E6%8C%81%E8%84%9A%E6%9C%AC%EF%BC%89%20DJ1600V2-A01%203D%20model	https://www.bing.com/images/search?q=%E5%88%86%E9%AB%94%E5%BC%8F%E9%BB%9E%E8%86%A0%E6%8E%A7%E5%88%B6%E5%99%A8%EF%BC%88%E5%85%AD%E8%BB%B8%EF%BC%8C%E6%94%AF%E6%8C%81%E8%84%9A%E6%9C%AC%EF%BC%89%20DJ1600V2-A01
UC3000060008	眾為興	DJ1600V1-A01		https://www.bing.com/search?q=%E7%9C%BE%E7%82%BA%E8%88%88%20DJ1600V1-A01%203D%20model	https://www.bing.com/images/search?q=%E7%9C%BE%E7%82%BA%E8%88%88%20DJ1600V1-A01
UC3007000001	大儒	DFC311-F		https://www.bing.com/search?q=%E5%A4%A7%E5%84%92%20DFC311-F%203D%20model	https://www.bing.com/images/search?q=%E5%A4%A7%E5%84%92%20DFC311-F
UC3007000002	無	大儒力覺控制維修單		https://www.bing.com/search?q=%E7%84%A1%20%E5%A4%A7%E5%84%92%E5%8A%9B%E8%A6%BA%E6%8E%A7%E5%88%B6%E7%B6%AD%E4%BF%AE%E5%96%AE%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%20%E5%A4%A7%E5%84%92%E5%8A%9B%E8%A6%BA%E6%8E%A7%E5%88%B6%E7%B6%AD%E4%BF%AE%E5%96%AE
UC3010000001				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3010000002				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3010000003	步科	2S86Q-4580		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%202S86Q-4580%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%202S86Q-4580
UC3010000004	步科	2S57Q-25B2(增加3*15鍵槽，附圖)		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%202S57Q-25B2%28%E5%A2%9E%E5%8A%A03%2A15%E9%8D%B5%E6%A7%BD%EF%BC%8C%E9%99%84%E5%9C%96%29%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%202S57Q-25B2%28%E5%A2%9E%E5%8A%A03%2A15%E9%8D%B5%E6%A7%BD%EF%BC%8C%E9%99%84%E5%9C%96%29
UC3010000005	步科	3S57Q-04056		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%203S57Q-04056%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%203S57Q-04056
UC3010000006	步科	3S57Q-04079		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%203S57Q-04079%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%203S57Q-04079
UC3010000007	步科	2S57Q-1376		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%202S57Q-1376%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%202S57Q-1376
UC3010000008	時代超群	868YG250-113（含刹車）		https://www.bing.com/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20868YG250-113%EF%BC%88%E5%90%AB%E5%88%B9%E8%BB%8A%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%20868YG250-113%EF%BC%88%E5%90%AB%E5%88%B9%E8%BB%8A%EF%BC%89
UC3010000009	時代超群	86ECP175ALCH-TK0		https://www.bing.com/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%2086ECP175ALCH-TK0%203D%20model	https://www.bing.com/images/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%2086ECP175ALCH-TK0
UC3010000010	步科	2S57Q-2280		https://www.bing.com/search?q=%E6%AD%A5%E7%A7%91%202S57Q-2280%203D%20model	https://www.bing.com/images/search?q=%E6%AD%A5%E7%A7%91%202S57Q-2280
UC3010000011	凱福科技	Y07-43D1-4002-ZK52		https://www.bing.com/search?q=%E5%87%B1%E7%A6%8F%E7%A7%91%E6%8A%80%20Y07-43D1-4002-ZK52%203D%20model	https://www.bing.com/images/search?q=%E5%87%B1%E7%A6%8F%E7%A7%91%E6%8A%80%20Y07-43D1-4002-ZK52
UC3010000012	雷賽智能	57HS22-A		https://www.bing.com/search?q=%E9%9B%B7%E8%B3%BD%E6%99%BA%E8%83%BD%2057HS22-A%203D%20model	https://www.bing.com/images/search?q=%E9%9B%B7%E8%B3%BD%E6%99%BA%E8%83%BD%2057HS22-A
UC3010000013	銳特	42HSM60-G0824-016	//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.rtelligent.com%2Fproducts%2F&rut=5d7d2ae90e10e75a2b10ea8dec9df764c848dd93a445cddc3469a1d786922ff0	https://www.bing.com/search?q=%E9%8A%B3%E7%89%B9%2042HSM60-G0824-016%203D%20model	https://www.bing.com/images/search?q=%E9%8A%B3%E7%89%B9%2042HSM60-G0824-016
UC3010000015	雷塞	57CME26		https://www.bing.com/search?q=%E9%9B%B7%E5%A1%9E%2057CME26%203D%20model	https://www.bing.com/images/search?q=%E9%9B%B7%E5%A1%9E%2057CME26
UC3010000016	雷賽	57CME26		https://www.bing.com/search?q=%E9%9B%B7%E8%B3%BD%2057CME26%203D%20model	https://www.bing.com/images/search?q=%E9%9B%B7%E8%B3%BD%2057CME26
UC3010000017	無	57N255-T1002-3004-L333		https://www.bing.com/search?q=%E7%84%A1%2057N255-T1002-3004-L333%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%2057N255-T1002-3004-L333
UC3010000019	無	42HO248-2504E-013（帶五米出線中空電機）		https://www.bing.com/search?q=%E7%84%A1%2042HO248-2504E-013%EF%BC%88%E5%B8%B6%E4%BA%94%E7%B1%B3%E5%87%BA%E7%B7%9A%E4%B8%AD%E7%A9%BA%E9%9B%BB%E6%A9%9F%EF%BC%89%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%2042HO248-2504E-013%EF%BC%88%E5%B8%B6%E4%BA%94%E7%B1%B3%E5%87%BA%E7%B7%9A%E4%B8%AD%E7%A9%BA%E9%9B%BB%E6%A9%9F%EF%BC%89
UC3010000020	無	20-HS-2-28-05-04-A		https://www.bing.com/search?q=%E7%84%A1%2020-HS-2-28-05-04-A%203D%20model	https://www.bing.com/images/search?q=%E7%84%A1%2020-HS-2-28-05-04-A
UC3010000023	時代超群	80BL100S40-445TK9		https://www.bing.com/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%2080BL100S40-445TK9%203D%20model	https://www.bing.com/images/search?q=%E6%99%82%E4%BB%A3%E8%B6%85%E7%BE%A4%2080BL100S40-445TK9
